"","brewery_name","review_time","review_aroma","review_appearance","beer_style","review_palate","review_taste","beer_name","beer_abv"
"507","Yards Brewing Co.",1115684337,3,3,"Extra Special / Strong Bitter (ESB)",3.5,3,"Extra Special Ale (ESA)",6.3
"508","Tröegs Brewing Company",1189636172,3.5,4,"American Pale Ale (APA)",4,4,"Tröegs Pale Ale",5.4
"509","Tröegs Brewing Company",1276629497,4.5,4,"Roggenbier",4.5,4.5,"Scratch Beer 28 - 2010 (Troggen Roggen)",6.1
"510","Victory Brewing Company",1274412572,3.5,4,"Quadrupel (Quad)",4,3.5,"V-Twelve",12
"511","Yuengling Brewery ",1219008617,3.5,3.5,"American Amber / Red Lager",3.5,3.5,"Yuengling Traditional Lager",4.4
"512","Tröegs Brewing Company",1165298646,3,4,"Oatmeal Stout",3.5,3.5,"Tröegs Oatmeal Stout",7
"513","Tröegs Brewing Company",1157058790,2.5,3.5,"German Pilsener",4.5,4,"Tröegs Sunshine Pils",5.3
"514","Tröegs Brewing Company",1295051504,4,4,"American IPA",4,4,"Scratch Beer 39 - 2010 (IPA #3 Of 4)",7.7
"515","Tröegs Brewing Company",1291422486,3.5,4,"Doppelbock",4,4.5,"Troegenator Double Bock",8.2
"516","Yuengling Brewery ",1252010129,3.5,3.5,"American Amber / Red Lager",3.5,4,"Yuengling Traditional Lager",4.4
"517","Tröegs Brewing Company",1198873721,4,4,"Belgian Strong Dark Ale",4,4,"Tröegs Mad Elf",11
"518","Tröegs Brewing Company",1279155416,3,3.5,"American Pale Ale (APA)",3.5,3.5,"Tröegs Pale Ale",5.4
"519","Victory Brewing Company",1048157158,4,4,"Märzen / Oktoberfest",3.5,4,"Festbier",5.6
"520","Victory Brewing Company",1315530487,3.5,4,"American Double / Imperial IPA",4,3.5,"Hop Wallop",8.5
"521","Tröegs Brewing Company",1314502547,3,3.5,"American Porter",3.5,3,"Tröegs Dead Reckoning Porter",5.4
"522","Voodoo Brewing Company",1247722303,4,3.5,"American Double / Imperial Stout",4.5,3.5,"Black Magick",15
"523","Victory Brewing Company",1276561177,3.5,3,"American Double / Imperial IPA",3.5,4.5,"Hop Wallop",8.5
"524","Tröegs Brewing Company",1175108455,5,4.5,"American Amber / Red Ale",4.5,5,"Tröegs Nugget Nectar",7.5
"525","Victory Brewing Company",1171851355,4.5,4.5,"Russian Imperial Stout",5,5,"Storm King Stout",9.1
"526","Victory Brewing Company",1310903454,4,4,"Rauchbier",4.5,4,"Scarlet Fire Rauchbier",6.1
"527","Victory Brewing Company",1025028099,3.5,4.5,"Munich Helles Lager",4,4.5,"Victory Lager",4.8
"528","Tröegs Brewing Company",1238292783,4.5,4,"American Barleywine",4.5,4.5,"Flying Mouflan",9.3
"529","Victory Brewing Company",1243814376,4,4,"Belgian IPA",4,4,"Wild Devil",6.7
"530","Victory Brewing Company",1314203993,4,4,"American IPA",4,4.5,"HopDevil Ale",6.7
"531","Tröegs Brewing Company",1261832766,3.5,4,"Belgian Strong Dark Ale",2.5,4,"Tröegs Mad Elf",11
"532","Yuengling Brewery ",1243338284,3,4,"American Pale Lager",3,2.5,"Yuengling Premium Beer",4.4
"533","Tröegs Brewing Company",1303430754,4,4,"American Amber / Red Ale",4,4.5,"Tröegs Hopback Amber Ale",6
"534","Victory Brewing Company",1176956570,2.5,3,"Tripel",2.5,1.5,"Golden Monkey",9.5
"535","Victory Brewing Company",1204955057,3,4,"American IPA",2,3.5,"HopDevil Ale",6.7
"536","Victory Brewing Company",1225066565,3.5,4,"Vienna Lager",3.5,4,"Almost Anton's Lager",5.3
"537","Tröegs Brewing Company",1276817708,3.5,3.5,"Oatmeal Stout",3.5,3.5,"Tröegs Java Head Stout",7.5
"538","Victory Brewing Company",1149517126,4,4,"German Pilsener",4.5,4.5,"Prima Pils",5.3
"539","Voodoo Brewing Company",1238032108,4.5,5,"American Double / Imperial Stout",4.5,3.5,"Black Magick",15
"540","Tröegs Brewing Company",1259328321,4,4,"Belgian Strong Dark Ale",3,3.5,"Tröegs Mad Elf",11
"541","Victory Brewing Company",1232027471,4,4,"American Double / Imperial IPA",4,5,"Hop Wallop",8.5
"542","Victory Brewing Company",1188870532,4.5,5,"German Pilsener",4.5,4.5,"Prima Pils",5.3
"543","Yuengling Brewery ",1144624348,2.5,3.5,"Black & Tan",3,2,"Yuengling Black & Tan",4.7
"544","Tröegs Brewing Company",1240182521,4,3.5,"English Brown Ale",4.5,4.5,"Tröegs Rugged Trail Nut Brown Ale",4.4
"545","Tröegs Brewing Company",1203345410,3.5,3.5,"American Pale Ale (APA)",3.5,4,"Tröegs Pale Ale",5.4
"546","Victory Brewing Company",1050767597,4,4,"Munich Helles Lager",3.5,3.5,"Victory Lager",4.8
"547","Yards Brewing Co.",1299633640,3.5,4,"Extra Special / Strong Bitter (ESB)",3.5,4,"Extra Special Ale (ESA)",6.3
"548","Yuengling Brewery ",1145760699,3.5,3.5,"American Amber / Red Lager",3.5,3,"Yuengling Traditional Lager",4.4
"549","Tröegs Brewing Company",1209845854,4,4.5,"American Amber / Red Ale",3.5,4,"Tröegs Hopback Amber Ale",6
"550","Tröegs Brewing Company",1291016418,3.5,4,"American IPA",4,3,"Scratch Beer 37 - 2010 (IPA #1 Of 4)",7.7
"551","Voodoo Brewing Company",1284435144,4,3.5,"Belgian Strong Pale Ale",5,5,"Voodoo Love Child",10.5
"552","Victory Brewing Company",1054741429,4,4.5,"Quadrupel (Quad)",4,4,"V-Twelve",12
"553","Victory Brewing Company",1306278856,4,4.5,"German Pilsener",4.5,4,"Prima Pils",5.3
"554","Victory Brewing Company",1045745337,3.5,4,"German Pilsener",4,4,"Prima Pils",5.3
"555","Victory Brewing Company",1046092933,4,4,"Hefeweizen",3.5,4,"Mad King's Weiss",6.2
"556","Victory Brewing Company",1247024310,4,4,"Witbier",3.5,4.5,"Whirlwind Witbier",5
"557","Tröegs Brewing Company",1241921364,3.5,4,"Oatmeal Stout",3.5,4,"Scratch Beer 15 - 2008",6
"558","Yards Brewing Co.",1267396041,3,3,"English Dark Mild Ale",3,3,"Brawler Pugilist Style Ale",4.2
"559","Victory Brewing Company",1294612055,4.5,4.5,"Russian Imperial Stout",4,4,"Dark Intrigue",9.1
"560","Tröegs Brewing Company",1240065032,4,4,"American Barleywine",4.5,4.5,"Flying Mouflan",9.3
"561","Victory Brewing Company",1222286337,4,4,"German Pilsener",4,4.5,"Prima Pils",5.3
"562","Yards Brewing Co.",1153438933,4,4,"Extra Special / Strong Bitter (ESB)",4,4.5,"Extra Special Ale (ESA)",6.3
"563","Tröegs Brewing Company",1324614675,4,4.5,"American Pale Ale (APA)",4,4,"Tröegs Pale Ale",5.4
"564","Victory Brewing Company",1312819526,4,3.5,"Hefeweizen",4,4,"Jose Garces Victory House Brew",NA
"565","Tröegs Brewing Company",1201236833,3.5,2.5,"Doppelbock",4.5,4,"Troegenator Double Bock",8.2
"566","Tröegs Brewing Company",1229540527,3.5,3.5,"American Amber / Red Ale",4,4,"Tröegs Hopback Amber Ale",6
"567","Victory Brewing Company",1172897270,4,4.5,"Russian Imperial Stout",5,4.5,"Storm King Stout",9.1
"568","Victory Brewing Company",1245379365,4,4,"Belgian IPA",4,4,"Wild Devil",6.7
"569","Victory Brewing Company",1300934524,4,4.5,"Saison / Farmhouse Ale",4,4.5,"Saison Du BUFF",6.8
"570","Victory Brewing Company",1126834038,3.5,3.5,"Märzen / Oktoberfest",4,3.5,"Festbier",5.6
"571","Voodoo Brewing Company",1287621934,2.5,3.5,"American Double / Imperial Stout",2,2.5,"Black Magick",15
"572","Voodoo Brewing Company",1312850656,3.5,3.5,"Belgian Strong Pale Ale",3.5,4,"Voodoo Love Child",10.5
"573","Tröegs Brewing Company",1226635548,3.5,3.5,"Doppelbock",3.5,3,"Troegenator Double Bock",8.2
"574","Victory Brewing Company",1147315331,3,4.5,"American IPA",4,4,"HopDevil Ale",6.7
"575","Victory Brewing Company",1184199929,4,4,"Hefeweizen",4,4.5,"Sunrise Weiss",5.7
"576","Tröegs Brewing Company",1272149732,4,4.5,"American Barleywine",5,4.5,"Flying Mouflan",9.3
"577","Tröegs Brewing Company",1243826785,4,4,"English Brown Ale",3.5,3.5,"Tröegs Rugged Trail Nut Brown Ale",4.4
"578","Victory Brewing Company",1256873849,4,4.5,"American Double / Imperial IPA",4,4,"Hop Wallop",8.5
"579","Victory Brewing Company",1315884909,4,4,"Russian Imperial Stout",4.5,4.5,"Storm King Stout",9.1
"580","Tröegs Brewing Company",1266283995,4.5,4,"American Amber / Red Ale",3.5,4,"Tröegs Nugget Nectar",7.5
"581","Yards Brewing Co.",1138901172,4,3.5,"English Stout",4,4.5,"Love Stout",5
"582","Tröegs Brewing Company",1169250611,3,4,"Doppelbock",4,4,"Troegenator Double Bock",8.2
"583","Victory Brewing Company",1289677691,4,4,"Russian Imperial Stout",4,4,"Storm King Stout",9.1
"584","Tröegs Brewing Company",1294705848,4,4,"Belgian Strong Dark Ale",4,4.5,"Tröegs Mad Elf",11
"585","Tröegs Brewing Company",1119984189,4.5,4.5,"American IPA",3.5,4,"The Drafting Room 11th Anniversary Ale",NA
"586","Victory Brewing Company",1202786026,4,4,"Weizenbock",4,4.5,"Moonglow Weizenbock",8.7
"587","Victory Brewing Company",1222832655,4,3.5,"Witbier",4,3.5,"Whirlwind Witbier",5
"588","Tröegs Brewing Company",1216173482,4,3.5,"American Amber / Red Ale",4,4,"Tröegs Hopback Amber Ale",6
"589","Victory Brewing Company",1305324053,3,3,"Witbier",3,3.5,"Whirlwind Witbier",5
"590","Victory Brewing Company",1290487642,3.5,3,"American Brown Ale",3.5,3,"Victory Village",5.1
"591","Tröegs Brewing Company",1250952127,3,4.5,"American Barleywine",3.5,3.5,"Flying Mouflan",9.3
"592","Tröegs Brewing Company",1170287850,4,4,"American Amber / Red Ale",4,3.5,"Tröegs Hopback Amber Ale",6
"593","Victory Brewing Company",1286897418,4,3.5,"American IPA",4,4.5,"HopDevil Ale",6.7
"594","Tröegs Brewing Company",1246779502,3.5,3.5,"German Pilsener",4,4,"Tröegs Sunshine Pils",5.3
"595","Victory Brewing Company",1290826628,4,4,"American Black Ale",4.5,4,"Yakima Glory",8.7
"596","Voodoo Brewing Company",1269654523,4,4,"American Double / Imperial Stout",3.5,4.5,"Big Black Voodoo Daddy",12.5
"597","Victory Brewing Company",1298591730,3.5,4,"German Pilsener",4,3.5,"Prima Pils",5.3
"598","Tröegs Brewing Company",1275268146,3.5,4,"American Barleywine",3,3.5,"Flying Mouflan",9.3
"599","Victory Brewing Company",1058546595,4.5,5,"American IPA",5,4.5,"HopDevil Ale",6.7
"600","Victory Brewing Company",1271290380,3.5,4,"German Pilsener",4,4.5,"Prima Pils",5.3
"601","Tröegs Brewing Company",1289161533,4,4,"Witbier",4.5,4.5,"Scratch Beer 36 - Bruce Wit",5.5
"602","Victory Brewing Company",1134095971,4,4,"Tripel",4,4,"Golden Monkey",9.5
"603","Victory Brewing Company",1137436113,4.5,4.5,"American Double / Imperial IPA",4.5,4.5,"Hop Wallop",8.5
"604","Victory Brewing Company",1140987361,3.5,4,"Russian Imperial Stout",4,4,"Storm King Stout",9.1
"605","Victory Brewing Company",1022059637,4.5,5,"Russian Imperial Stout",4.5,5,"Storm King Stout",9.1
"606","Tröegs Brewing Company",1189368602,4,4,"Tripel",4.5,4,"Scratch Beer 3 - 2007",10.1
"607","Victory Brewing Company",1325212569,4,3.5,"Smoked Beer",4.5,4,"Otto Ale",8.1
"608","Yuengling Brewery ",1072814265,2.5,2.5,"Light Lager",2.5,2,"Yuengling Light Lager",3.4
"609","Victory Brewing Company",1205711317,4,4,"Russian Imperial Stout",4.5,4.5,"Storm King Stout",9.1
"610","Tröegs Brewing Company",1325767873,3.5,4,"American Pale Ale (APA)",4,4,"Tröegs Pale Ale",5.4
"611","Tröegs Brewing Company",1298340737,3.5,4,"American Pale Ale (APA)",3.5,4,"Tröegs Pale Ale",5.4
"612","Victory Brewing Company",1092521084,3.5,4,"Quadrupel (Quad)",4,3.5,"V-Twelve",12
"613","Victory Brewing Company",1215975039,4,4,"Rauchbier",4,4,"Scarlet Fire Rauchbier",6.1
"614","Victory Brewing Company",1264221964,4.5,4,"Baltic Porter",4,4.5,"Baltic Thunder",8.5
"615","Tröegs Brewing Company",1315546541,4.5,4.5,"American IPA",5,4.5,"Tröegs Perpetual IPA",7.5
"616","Victory Brewing Company",1100534935,4.5,3.5,"American Double / Imperial IPA",3.5,3,"Hop Wallop",8.5
"617","Victory Brewing Company",1062387835,5,4,"Tripel",4,4.5,"Golden Monkey",9.5
"618","Victory Brewing Company",1144181733,4.5,5,"American Double / Imperial IPA",4,4,"Hop Wallop",8.5
"619","Yards Brewing Co.",1252718022,4,4.5,"English Strong Ale",4,4,"Thomas Jefferson's Tavern Ale",8
"620","Yuengling Brewery ",1280459035,3,4.5,"American Porter",3,2.5,"Yuengling Porter (Dark Brewed)",4.7
"621","Victory Brewing Company",1173061309,3,4,"German Pilsener",3.5,4,"Prima Pils",5.3
"622","Tröegs Brewing Company",1325036658,3.5,3.5,"Belgian Strong Dark Ale",3,3.5,"Tröegs Mad Elf",11
"623","Victory Brewing Company",1104718636,4,5,"Russian Imperial Stout",5,5,"Storm King Stout",9.1
"624","Victory Brewing Company",1192591438,3.5,3.5,"Saison / Farmhouse Ale",4,4.5,"V-Saison",7.5
"625","Tröegs Brewing Company",1251563126,4,4.5,"Oatmeal Stout",3.5,3.5,"Tröegs Java Head Stout",7.5
"626","Tröegs Brewing Company",1321591585,4.5,4,"Belgian Strong Dark Ale",4,4.5,"Tröegs Mad Elf",11
"627","Yards Brewing Co.",1310180268,2.5,3.5,"English Strong Ale",4,4,"Thomas Jefferson's Tavern Ale",8
"628","Tröegs Brewing Company",1276213543,4.5,4,"American Amber / Red Ale",4,4,"Tröegs Hopback Amber Ale",6
"629","Tröegs Brewing Company",1234740607,4,4,"American Amber / Red Ale",4,4,"Tröegs Hopback Amber Ale",6
"630","Victory Brewing Company",1281620565,3,4,"American IPA",3.5,3.5,"HopDevil Ale",6.7
"631","Voodoo Brewing Company",1308940571,4.5,3,"American Double / Imperial Stout",4,4.5,"Black Magick",15
"632","Tröegs Brewing Company",1310935341,4,3.5,"Hefeweizen",3.5,4.5,"DreamWeaver Wheat",4.8
"633","Tröegs Brewing Company",1325130670,4.5,4.5,"Belgian Strong Dark Ale",3,3,"Tröegs Mad Elf",11
"634","Tröegs Brewing Company",1279848172,4,4.5,"Belgian IPA",4,4.5,"Scratch Beer 29 - 2010 (NBPA)",7.7
"635","Tröegs Brewing Company",1224557454,4,4,"American Amber / Red Ale",3.5,3.5,"Tröegs Hopback Amber Ale",6
"636","Yuengling Brewery ",1262366228,2.5,3,"American Pale Ale (APA)",4,3,"Lord Chesterfield Ale",5.4
"637","Tröegs Brewing Company",1286461389,5,4.5,"Weizenbock",4,4,"Scratch Beer 7 - 2008",7.9
"638","Victory Brewing Company",1222809188,4.5,4,"Rauchbier",4.5,4.5,"Scarlet Moon",7.4
"639","Voodoo Brewing Company",1274674822,4,3.5,"American Double / Imperial Stout",4.5,4.5,"Big Black Voodoo Daddy",12.5
"640","Yards Brewing Co.",1230384784,3.5,3.5,"English India Pale Ale (IPA)",3.5,3.5,"India Pale Ale",7
"641","Tröegs Brewing Company",1283224143,4,4,"German Pilsener",4,4,"Tröegs Sunshine Pils",5.3
"642","Victory Brewing Company",1129663613,4,4,"American IPA",4.5,4,"HopDevil Ale",6.7
"643","Tröegs Brewing Company",1271377166,4.5,3.5,"English Brown Ale",4,3.5,"Tröegs Rugged Trail Nut Brown Ale",4.4
"644","Victory Brewing Company",1182824316,4.5,4,"Russian Imperial Stout",5,4.5,"Storm King Stout",9.1
"645","Victory Brewing Company",1227150487,4.5,4,"Russian Imperial Stout",4.5,4.5,"Storm King Stout",9.1
"646","Tröegs Brewing Company",1169686612,4,4,"American Amber / Red Ale",4.5,4.5,"Tröegs Nugget Nectar",7.5
"647","Victory Brewing Company",1314150858,4.5,3.5,"German Pilsener",4.5,4.5,"Prima Pils",5.3
"648","Victory Brewing Company",1300223357,3.5,4,"German Pilsener",4,3.5,"Prima Pils",5.3
"649","Victory Brewing Company",1276903782,4,4.5,"American IPA",4,4,"HopDevil Ale",6.7
"650","Tröegs Brewing Company",1295627801,3.5,4,"American Amber / Red Ale",3.5,4,"Tröegs Hopback Amber Ale",6
"651","Victory Brewing Company",1230879719,4,4.5,"American Double / Imperial IPA",4,4,"Hop Wallop",8.5
"652","Victory Brewing Company",1314751184,3.5,4.5,"Märzen / Oktoberfest",4.5,4,"Festbier",5.6
"653","Victory Brewing Company",1174491849,4,4.5,"Altbier",4,4,"Ten Years Alt",8.5
"654","Yuengling Brewery ",1277323461,2.5,4,"American Amber / Red Lager",3,3,"Yuengling Traditional Lager",4.4
"655","Yards Brewing Co.",1302552900,3.5,4.5,"English Porter",4,4,"General Washington's Tavern Porter",7
"656","Yards Brewing Co.",1071884150,4,4,"Lambic - Fruit",3.5,3.5,"Pynk",4.5
"657","Yuengling Brewery ",1300755147,3.5,4,"Bock",4,3.5,"Yuengling Bock",5.1
"658","Tröegs Brewing Company",1290104033,4,4,"Dubbel",4,3.5,"Scratch Beer 34 - 2010 (Tim's Belgian Brown)",7.8
"659","Tröegs Brewing Company",1291768812,4.5,4,"Oatmeal Stout",4,4,"Tröegs Java Head Stout",7.5
"660","Tröegs Brewing Company",1209133855,4.5,4,"American Amber / Red Ale",4,5,"Tröegs Nugget Nectar",7.5
"661","Tröegs Brewing Company",1140496219,4.5,4.5,"American Amber / Red Ale",4,5,"Tröegs Nugget Nectar",7.5
"662","Victory Brewing Company",1259530191,4,4.5,"Quadrupel (Quad)",4,4.5,"V-Twelve",12
"663","Yuengling Brewery ",1234650682,2,3,"American Pale Ale (APA)",3,2.5,"Lord Chesterfield Ale",5.4
"664","Tröegs Brewing Company",1310266181,4,4,"Doppelbock",4,5,"Troegenator Double Bock",8.2
"665","Victory Brewing Company",1196621458,4,4.5,"Extra Special / Strong Bitter (ESB)",4,4.5,"Victory ESB",6.25
"666","Victory Brewing Company",1187137100,3.5,4,"Dunkelweizen",3.5,3.5,"Sunset Dunkleweizen",5.7
"667","Victory Brewing Company",1299719020,3,4,"Russian Imperial Stout",4,3.5,"Storm King Stout",9.1
"668","Tröegs Brewing Company",1249335911,4,3.5,"American Amber / Red Ale",3,3.5,"Tröegs Hopback Amber Ale",6
"669","Victory Brewing Company",1107728458,3.5,3.5,"American Pale Ale (APA)",3.5,3.5,"USPA (American Pale Ale)",5.7
"670","Victory Brewing Company",1273707225,3.5,3,"German Pilsener",4,4,"Prima Pils",5.3
"671","Victory Brewing Company",1298635590,4,4,"American Pale Ale (APA)",4,4,"Headwaters Pale Ale",5.1
"672","Yuengling Brewery ",1301870410,3.5,4,"Bock",4,3.5,"Yuengling Bock",5.1
"673","Yuengling Brewery ",1318036671,4,4.5,"American Amber / Red Lager",3.5,4,"Yuengling Traditional Lager",4.4
"674","Yards Brewing Co.",1042567316,4.5,4,"English Strong Ale",4,4.5,"Thomas Jefferson's Tavern Ale",8
"675","Victory Brewing Company",1197309638,4.5,3.5,"Tripel",4.5,4,"Golden Monkey",9.5
"676","Tröegs Brewing Company",1297637220,3.5,4,"Oatmeal Stout",4,4,"Tröegs Java Head Stout",7.5
"677","Victory Brewing Company",1255480306,5,4.5,"American IPA",4,4.5,"HopDevil Ale",6.7
"678","Tröegs Brewing Company",1288471981,3.5,4,"American Amber / Red Ale",4,3.5,"Tröegs Hopback Amber Ale",6
"679","Victory Brewing Company",1298685475,3.5,3,"American Double / Imperial IPA",3,4,"Hop Wallop",8.5
"680","Victory Brewing Company",1316870181,4,4,"American Pale Ale (APA)",3.5,4,"Headwaters Pale Ale",5.1
"681","Yards Brewing Co.",1182109589,4.5,3.5,"English Porter",3.5,4,"General Washington's Tavern Porter",7
"682","Victory Brewing Company",1299080698,2.5,1.5,"Munich Helles Lager",1.5,1.5,"Victory Lager",4.8
"683","Victory Brewing Company",1251073686,4,4,"Saison / Farmhouse Ale",4,4,"Helios  (V Saison)",7.5
"684","Tröegs Brewing Company",1225939398,4,4,"Saison / Farmhouse Ale",3,4,"Scratch Beer 14 - 2008",6.7
"685","Yuengling Brewery ",1225321792,3.5,4,"American Porter",3,4,"Yuengling Porter (Dark Brewed)",4.7
"686","Yards Brewing Co.",1044561210,4,3.5,"Extra Special / Strong Bitter (ESB)",4,4,"Extra Special Ale (ESA)",6.3
"687","Yuengling Brewery ",1194991975,3.5,3.5,"Black & Tan",4,4,"Yuengling Black & Tan",4.7
"688","Tröegs Brewing Company",1194527859,3.5,3.5,"Oatmeal Stout",3.5,3.5,"Scratch Beer 5 - 2007",9.9
"689","Victory Brewing Company",1155762360,3.5,4,"American IPA",4,4.5,"HopDevil Ale",6.7
"690","Victory Brewing Company",1245647898,3.5,4,"Baltic Porter",3.5,3.5,"Baltic Thunder",8.5
"691","Tröegs Brewing Company",1263871677,4,3.5,"English Brown Ale",4,4,"Tröegs Rugged Trail Nut Brown Ale",4.4
"692","Yards Brewing Co.",1040017456,4.5,4.5,"Belgian Strong Dark Ale",4.5,4.5,"Trubbel De Yards",9
"693","Tröegs Brewing Company",1231206651,5,4.5,"Belgian Strong Dark Ale",4.5,5,"Tröegs Mad Elf",11
"694","Tröegs Brewing Company",1255839746,3.5,4.5,"Oatmeal Stout",4,4,"Tröegs Java Head Stout",7.5
"695","Tröegs Brewing Company",1128136685,3.5,3.5,"American Pale Ale (APA)",3.5,4,"Tröegs Pale Ale",5.4
"696","Yards Brewing Co.",1244226812,3.5,3,"Saison / Farmhouse Ale",3.5,4,"Yards Saison",6.5
"697","Victory Brewing Company",1185659451,2.5,3,"Tripel",3.5,3,"Golden Monkey",9.5
"698","Yuengling Brewery ",1247016639,3.5,3.5,"Black & Tan",4,3.5,"Yuengling Black & Tan",4.7
"699","Voodoo Brewing Company",1249313648,4,5,"American Double / Imperial Stout",4.5,4.5,"Big Black Voodoo Daddy",12.5
"700","Victory Brewing Company",1247431519,4.5,4.5,"Russian Imperial Stout",4.5,4,"Storm King Stout",9.1
"701","Tröegs Brewing Company",1300682185,4,3.5,"Hefeweizen",3.5,4,"DreamWeaver Wheat",4.8
"702","Tröegs Brewing Company",1289005776,4.5,4.5,"Saison / Farmhouse Ale",3.5,4,"Scratch Beer 33 - 2010 (Saison De Mueze)",6
"703","Tröegs Brewing Company",1307645623,3.5,4,"German Pilsener",3.5,4,"Tröegs Sunshine Pils",5.3
"704","Tröegs Brewing Company",1304125604,3,3.5,"German Pilsener",3,3,"Tröegs Sunshine Pils",5.3
"705","Tröegs Brewing Company",1205112965,4,4,"American Amber / Red Ale",4.5,4,"Tröegs Hopback Amber Ale",6
"706","Victory Brewing Company",1182575414,3.5,4,"American Double / Imperial IPA",4.5,4,"Hop Wallop",8.5
"707","Tröegs Brewing Company",1073683520,4,4,"American Amber / Red Ale",4,4.5,"Tröegs Hopback Amber Ale",6
"708","Victory Brewing Company",1062554363,3,3.5,"Quadrupel (Quad)",3,3.5,"V-Twelve",12
"709","Tröegs Brewing Company",1162998782,3.5,3.5,"American Amber / Red Ale",4,3.5,"Tröegs Hopback Amber Ale",6
"710","Victory Brewing Company",1262385864,4.5,3.5,"American IPA",4,4,"HopDevil Ale",6.7
"711","Yards Brewing Co.",1053213729,3.5,3.5,"Saison / Farmhouse Ale",3.5,3.5,"Yards Saison",6.5
"712","Victory Brewing Company",1296527958,3.5,4,"American Barleywine",3.5,4,"Old Horizontal",11
"713","Tröegs Brewing Company",1240183000,3.5,4,"Hefeweizen",3.5,4,"DreamWeaver Wheat",4.8
"714","Victory Brewing Company",1070684348,3.5,4,"Quadrupel (Quad)",4,4,"V-Twelve",12
"715","Victory Brewing Company",1306368026,3.5,4,"German Pilsener",4.5,4.5,"Prima Pils",5.3
"716","Yards Brewing Co.",1292004668,3,4,"American Pale Ale (APA)",3.5,3.5,"Philadelphia Pale Ale",4.3
"717","Yards Brewing Co.",1041276773,4,4.5,"English Stout",4.5,4,"Love Stout",5
"718","Victory Brewing Company",1085974158,4,4,"American Barleywine",4,4,"Old Horizontal",11
"719","Victory Brewing Company",1174899977,3.5,4,"American IPA",4,4.5,"HopDevil Ale",6.7
"720","Victory Brewing Company",1261373168,4,4,"Saison / Farmhouse Ale",4,4,"Helios  (V Saison)",7.5
"721","Voodoo Brewing Company",1244254415,4,4,"American Double / Imperial Stout",3,3.5,"Big Black Voodoo Daddy",12.5
"722","Tröegs Brewing Company",1312329306,3.5,4.5,"American Barleywine",4,4,"Flying Mouflan",9.3
"723","Victory Brewing Company",1144729047,4,4,"Altbier",3.5,2.5,"Ten Years Alt",8.5
"724","Victory Brewing Company",1159721991,4,4,"English Brown Ale",4,4,"Dr. Decibels Brown Ale",5.7
"725","Victory Brewing Company",1081986047,4.5,4,"American Double / Imperial IPA",4.5,4.5,"Hop Wallop",8.5
"726","Tröegs Brewing Company",1210131993,4,4,"American Amber / Red Ale",4,4.5,"Tröegs Nugget Nectar",7.5
"727","Victory Brewing Company",1233859769,3.5,3.5,"American Double / Imperial IPA",3.5,4,"Hop Wallop",8.5
"728","Yards Brewing Co.",1164594687,4.5,4.5,"Herbed / Spiced Beer",4.5,4,"Poor Richard's Tavern Spruce Ale",5
"729","Tröegs Brewing Company",1156096717,3.5,4,"Doppelbock",3,3.5,"Troegenator Double Bock",8.2
"730","Victory Brewing Company",1195355145,3.5,3.5,"German Pilsener",3.5,4,"Prima Pils",5.3
"731","Tröegs Brewing Company",1321426156,2.5,2.5,"Belgian Strong Pale Ale",2.5,3.5,"Scratch Beer 21 (Naked Elf)",7.8
"732","Victory Brewing Company",1272213761,4,3,"German Pilsener",4,4.5,"Prima Pils",5.3
"733","Tröegs Brewing Company",1068384350,4,4,"Belgian Strong Dark Ale",4.5,4.5,"Tröegs Mad Elf",11
"734","Yards Brewing Co.",1259244162,3,4,"English Dark Mild Ale",3.5,3.5,"Brawler Pugilist Style Ale",4.2
"735","Victory Brewing Company",1145035080,4,5,"American Barleywine",4.5,4,"Old Horizontal",11
"736","Tröegs Brewing Company",1035829518,3.5,4,"Oatmeal Stout",3.5,4,"Tröegs Oatmeal Stout",7
"737","Tröegs Brewing Company",1301107803,4,4,"American Amber / Red Ale",4,4,"Tröegs Nugget Nectar",7.5
"738","Victory Brewing Company",1250030323,3.5,3.5,"Maibock / Helles Bock",4,3.5,"St. Boisterous",7.4
"739","Tröegs Brewing Company",1244415038,4,4,"English Brown Ale",4,4,"Tröegs Rugged Trail Nut Brown Ale",4.4
"740","Victory Brewing Company",1038055192,4,4.5,"American IPA",4.5,4.5,"HopDevil Ale",6.7
"741","Victory Brewing Company",1293656283,4.5,3.5,"Tripel",4,4,"Sticke'y Monkey",9.5
"742","Tröegs Brewing Company",1294580218,4.5,4,"American IPA",4,4.5,"Scratch Beer 40 - 2010 (IPA #4 Of 4)",8.1
"743","Victory Brewing Company",1184842573,3,4,"German Pilsener",4.5,5,"Prima Pils",5.3
"744","Victory Brewing Company",1285852260,4,4,"American Double / Imperial IPA",4,4,"Hop Wallop",8.5
"745","Victory Brewing Company",1109736074,3.5,4,"Russian Imperial Stout",3.5,4.5,"Storm King Stout",9.1
"746","Victory Brewing Company",1182828974,3.5,3.5,"Witbier",3.5,4,"Whirlwind Witbier",5
"747","Tröegs Brewing Company",1284314464,3.5,3.5,"Doppelbock",4,4.5,"Troegenator Double Bock",8.2
"748","Victory Brewing Company",1257124589,4.5,4.5,"American Double / Imperial IPA",4.5,4,"Hop Wallop",8.5
"749","Tröegs Brewing Company",1280512326,4,3.5,"Oatmeal Stout",4,4.5,"Tröegs Java Head Stout",7.5
