"time","brewery","name","style","abv","aroma","appearance","palate","taste","total","average"
2006-06-19 21:00:23,"Victory Brewing Company","St. Victorious","Doppelbock",7.6,4,4.5,4.5,4.5,17.5,4.375
2006-06-19 22:14:44,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,2.5,3,3,4,12.5,3.125
2006-06-20 22:13:52,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4,4.5,3.5,4,16,4
2006-06-26 23:42:57,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4,4.5,4.5,17,4.25
2006-06-27 20:50:19,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,4,4.5,3.5,4,16,4
2006-07-03 02:30:45,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,3,4,4,4,15,3.75
2006-07-04 21:25:21,"Victory Brewing Company","Sunrise Weiss","Hefeweizen",5.7,4,4,4.5,4.5,17,4.25
2006-07-05 15:10:20,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,2.5,3,4,4,13.5,3.375
2006-07-07 20:16:12,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,5,4.5,4,4,17.5,4.375
2006-07-07 22:05:03,"Victory Brewing Company","Golden Monkey","Tripel",9.5,4,4.5,4,4.5,17,4.25
2006-07-09 14:17:49,"Victory Brewing Company","St. Victorious","Doppelbock",7.6,4,4,3,4,15,3.75
2006-07-11 15:59:13,"Victory Brewing Company","Ten Years Alt","Altbier",8.5,3.5,3.5,3.5,2.5,13,3.25
2006-07-12 22:54:32,"Victory Brewing Company","Sunrise Weiss","Hefeweizen",5.7,4,3.5,4,4,15.5,3.875
2006-07-12 23:21:00,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,4,3.5,4,4,15.5,3.875
2006-07-15 18:59:58,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,3.5,4.5,4,4.5,16.5,4.125
2006-07-17 08:23:17,"Victory Brewing Company","St. Boisterous","Maibock / Helles Bock",7.4,3.5,3,3.5,3.5,13.5,3.375
2006-07-17 15:00:02,"Troegs Brewing Company","Troegs Oatmeal Stout","Oatmeal Stout",7,4.5,4,3.5,4,16,4
2006-07-18 21:43:19,"Victory Brewing Company","St. Boisterous","Maibock / Helles Bock",7.4,5,3.5,4.5,4,17,4.25
2006-07-20 19:42:13,"Yards Brewing Company","Extra Special Ale (ESA)","Extra Special / Strong Bitter (ESB)",6.3,4,4,4,4.5,16.5,4.125
2006-07-24 22:24:32,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,3.5,4,3,4,14.5,3.625
2006-07-27 14:06:43,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4.5,3.5,3.5,4.5,16,4
2006-07-27 19:16:00,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4,3.5,4.5,16,4
2006-07-28 14:37:40,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4.5,3.5,4,16,4
2006-07-30 20:12:32,"Victory Brewing Company","Ten Years Alt","Altbier",8.5,3.5,3.5,4,3.5,14.5,3.625
2006-08-01 17:33:34,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,4,4,3.5,4,15.5,3.875
2006-08-03 18:44:44,"Victory Brewing Company","Ten Years Alt","Altbier",8.5,3.5,3.5,4,3.5,14.5,3.625
2006-08-04 02:29:08,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,3.5,3,5,4,15.5,3.875
2006-08-09 19:46:09,"Victory Brewing Company","Ten Years Alt","Altbier",8.5,4,4,4.5,3.5,16,4
2006-08-15 13:31:04,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,4,5,4.5,4,17.5,4.375
2006-08-16 17:06:00,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,3.5,4,4,4.5,16,4
2006-08-16 20:02:53,"Yards Brewing Company","India Pale Ale","English India Pale Ale (IPA)",7,4,3,4,4,15,3.75
2006-08-20 13:58:37,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,3.5,4,3,3.5,14,3.5
2006-08-21 16:52:18,"Yards Brewing Company","Philadelphia Pale Ale","American Pale Ale (APA)",4.3,4,4,4.5,4.5,17,4.25
2006-08-22 12:50:41,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,5,5,5,5,20,5
2006-08-22 21:01:06,"Troegs Brewing Company","Troegs Rugged Trail Nut Brown Ale","English Brown Ale",4.4,3.5,3.5,4,4,15,3.75
2006-08-28 23:03:29,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,2.5,4.5,2.5,2.5,12,3
2006-08-30 21:46:38,"Troegs Brewing Company","Troegs Pale Ale","American Pale Ale (APA)",5.4,4,4,4,4,16,4
2006-08-31 17:13:10,"Troegs Brewing Company","Troegs Sunshine Pils","German Pilsener",5.3,2.5,3.5,4.5,4,14.5,3.625
2006-09-04 13:43:51,"Troegs Brewing Company","Troegs Oatmeal Stout","Oatmeal Stout",7,5,3,3.5,4.5,16,4
2006-09-04 23:31:51,"Victory Brewing Company","St. Boisterous","Maibock / Helles Bock",7.4,3.5,4,3.5,4,15,3.75
2006-09-09 12:28:26,"Troegs Brewing Company","DreamWeaver Wheat","Hefeweizen",4.8,3.5,3.5,3.5,4,14.5,3.625
2006-09-11 05:45:09,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4,3.5,4,16,4
2006-09-11 10:20:05,"Yuengling Brewery","Lord Chesterfield Ale","American Pale Ale (APA)",5.4,2,3,2,2,9,2.25
2006-09-20 19:31:50,"Victory Brewing Company","Festbier","Marzen / Oktoberfest",5.6,4,3.5,4.5,4,16,4
2006-09-23 20:27:07,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,4,3.5,4,4,15.5,3.875
2006-09-25 12:13:28,"Victory Brewing Company","Sunrise Weiss","Hefeweizen",5.7,4,4,4,4,16,4
2006-09-25 12:30:29,"Yards Brewing Company","Poor Richard's Tavern Spruce Ale","Herbed / Spiced Beer",5,4.5,4.5,4,4,17,4.25
2006-09-25 22:05:01,"Yards Brewing Company","Extra Special Ale (ESA)","Extra Special / Strong Bitter (ESB)",6.3,4.5,4,3.5,4,16,4
2006-09-26 20:51:33,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,4.5,4.5,5,4.5,18.5,4.625
2006-09-27 17:27:05,"Yuengling Brewery","Yuengling Porter (Dark Brewed)","American Porter",4.7,3.5,4.5,4,3.5,15.5,3.875
2006-10-01 12:59:51,"Victory Brewing Company","Dr. Decibels Brown Ale","English Brown Ale",5.7,4,4,4,4,16,4
2006-10-03 01:04:30,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4.5,4.5,4.5,17.5,4.375
2006-10-08 10:19:40,"Troegs Brewing Company","Troegs Oatmeal Stout","Oatmeal Stout",7,4,4,4.5,4,16.5,4.125
2006-10-12 14:36:13,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4.5,3.5,4,16,4
2006-10-13 13:18:19,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,4,4,4,16,4
2006-10-15 22:13:32,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4,4.5,4.5,3.5,16.5,4.125
2006-10-16 07:17:31,"Victory Brewing Company","Braumeister Harvest Pils","German Pilsener",6.1,5,5,4.5,4.5,19,4.75
2006-10-20 15:51:36,"Victory Brewing Company","Victory Harvest Ale","American Strong Ale",5.8,5,5,5,5,20,5
2006-10-22 11:56:43,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4,4,4,16,4
2006-10-26 10:25:55,"Yards Brewing Company","Thomas Jefferson's Tavern Ale","English Strong Ale",8,4,3.5,3.5,2.5,13.5,3.375
2006-10-28 20:14:25,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,3.5,2.5,4,3.5,13.5,3.375
2006-10-30 13:23:52,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4,3.5,3.5,3.5,14.5,3.625
2006-11-03 08:42:51,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,3.5,3.5,3,3.5,13.5,3.375
2006-11-04 22:02:52,"Victory Brewing Company","Golden Monkey","Tripel",9.5,4.5,4.5,4,4,17,4.25
2006-11-05 16:15:30,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,2,2,3,2,9,2.25
2006-11-05 21:17:48,"Victory Brewing Company","Moonglow Weizenbock","Weizenbock",8.7,4,4,4,4,16,4
2006-11-05 23:07:01,"Victory Brewing Company","Scarlet Fire Rauchbier","Rauchbier",6.1,4,4,4.5,4.5,17,4.25
2006-11-07 09:14:35,"Troegs Brewing Company","DreamWeaver Wheat","Hefeweizen",4.8,4.5,4.5,4.5,4.5,18,4.5
2006-11-08 10:13:02,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,3.5,3.5,4,3.5,14.5,3.625
2006-11-11 22:27:54,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4.5,5,4.5,18.5,4.625
2006-11-14 09:21:50,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,4,3.5,3.5,4,15,3.75
2006-11-17 18:19:19,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,4.5,4,4,5,17.5,4.375
2006-11-19 21:22:03,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,4,4,3.5,3.5,15,3.75
2006-11-19 22:08:11,"Yuengling Brewery","Yuengling Premium Beer","American Pale Lager",4.4,2,2.5,3,3.5,11,2.75
2006-11-23 13:16:38,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,4,4,4,4,16,4
2006-11-26 21:31:27,"Yards Brewing Company","Poor Richard's Tavern Spruce Ale","Herbed / Spiced Beer",5,4.5,4.5,4.5,4,17.5,4.375
2006-12-02 02:19:28,"Victory Brewing Company","Ten Years Alt","Altbier",8.5,3.5,3.5,3.5,4,14.5,3.625
2006-12-05 01:04:06,"Troegs Brewing Company","Troegs Oatmeal Stout","Oatmeal Stout",7,3,4,3.5,3.5,14,3.5
2006-12-05 01:19:01,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,4.5,4,4,4,16.5,4.125
2006-12-10 00:45:42,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4,4,4,16.5,4.125
2006-12-14 11:36:47,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,3.5,3.5,3.5,3.5,14,3.5
2006-12-15 21:27:17,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4,3.5,4,4,15.5,3.875
2006-12-16 02:31:27,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,3.5,4,3.5,3.5,14.5,3.625
2006-12-18 23:13:54,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,4.5,4,4,16.5,4.125
2006-12-22 10:45:46,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,3,3,3,3.5,12.5,3.125
2006-12-27 08:40:43,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4,4.5,4,4,16.5,4.125
2006-12-27 09:08:48,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4,4,4.5,17,4.25
2006-12-30 15:08:17,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,4,4,3,3.5,14.5,3.625
2007-01-02 11:32:15,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,3.5,4,3.5,4,15,3.75
2007-01-06 18:29:20,"Yards Brewing Company","India Pale Ale","English India Pale Ale (IPA)",7,3.5,3.5,3.5,3.5,14,3.5
2007-01-12 21:17:22,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4,3.5,3,3.5,14,3.5
2007-01-19 18:50:11,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,3,4,4,4,15,3.75
2007-01-20 18:35:16,"Victory Brewing Company","Old Horizontal","American Barleywine",11,3.5,3.5,5,4,16,4
2007-01-21 14:48:52,"Victory Brewing Company","Golden Monkey","Tripel",9.5,3,2,3,3.5,11.5,2.875
2007-01-24 17:13:22,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,5,4,4,4.5,17.5,4.375
2007-01-24 19:56:52,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4,4,4.5,4.5,17,4.25
2007-01-28 18:25:18,"Victory Brewing Company","V-Twelve","Quadrupel (Quad)",12,4,4,2.5,3,13.5,3.375
2007-01-28 21:28:18,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,4,3.5,3.5,3.5,14.5,3.625
2007-01-31 18:57:30,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,4,4,4,3.5,15.5,3.875
2007-02-01 19:44:05,"Yuengling Brewery","Yuengling Porter (Dark Brewed)","American Porter",4.7,4,4.5,3,4,15.5,3.875
2007-02-04 00:01:50,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,4,3.5,4.5,4,16,4
2007-02-05 13:43:50,"Victory Brewing Company","Golden Monkey","Tripel",9.5,3.5,2.5,3.5,3.5,13,3.25
2007-02-11 17:14:58,"Yuengling Brewery","Yuengling Light Beer","Light Lager",3.5,3,5,5,4,17,4.25
2007-02-18 21:15:55,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,4.5,5,5,19,4.75
2007-02-20 14:00:26,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4.5,4,4,5,17.5,4.375
2007-02-20 18:26:25,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,4,3.5,4,4.5,16,4
2007-02-21 13:58:32,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4.5,4,3.5,3.5,15.5,3.875
2007-02-21 23:41:38,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,4,4,4.5,17,4.25
2007-02-23 21:11:52,"Yuengling Brewery","Lord Chesterfield Ale","American Pale Ale (APA)",5.4,3.5,3,3,3.5,13,3.25
2007-02-27 00:34:36,"Yuengling Brewery","Yuengling Black & Tan","Black & Tan",4.7,3,3.5,2.5,2.5,11.5,2.875
2007-02-28 12:25:56,"Victory Brewing Company","Old Horizontal","American Barleywine",11,4,3.5,3.5,3.5,14.5,3.625
2007-03-02 19:51:51,"Victory Brewing Company","St. Boisterous","Maibock / Helles Bock",7.4,3.5,3,4,4,14.5,3.625
2007-03-02 23:47:50,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4,4.5,5,4.5,18,4.5
2007-03-04 21:21:49,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,3,4,3.5,4,14.5,3.625
2007-03-06 23:35:18,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,5,4,5,5,19,4.75
2007-03-09 21:19:08,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,3.5,3.5,3,3.5,13.5,3.375
2007-03-09 22:51:34,"Victory Brewing Company","Golden Monkey","Tripel",9.5,4,4,4,4.5,16.5,4.125
2007-03-11 21:06:01,"Yards Brewing Company","Philadelphia Pale Ale","American Pale Ale (APA)",4.3,3,4,4,3.5,14.5,3.625
2007-03-11 23:43:21,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4.5,4,4,4.5,17,4.25
2007-03-13 07:42:19,"Victory Brewing Company","St. Victorious","Doppelbock",7.6,4,3.5,4,4,15.5,3.875
2007-03-15 20:02:14,"Troegs Brewing Company","Troegs Oatmeal Stout","Oatmeal Stout",7,3.5,3.5,3,4,14,3.5
2007-03-19 14:21:22,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,3.5,3,3,3.5,13,3.25
2007-03-20 23:19:20,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,4.5,4,4.5,17.5,4.375
2007-03-21 11:44:09,"Victory Brewing Company","Ten Years Alt","Altbier",8.5,4,4.5,4,4,16.5,4.125
2007-03-24 20:51:41,"Yards Brewing Company","Extra Special Ale (ESA)","Extra Special / Strong Bitter (ESB)",6.3,3.5,3.5,3,3,13,3.25
2007-03-26 05:06:17,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,3.5,4,4,4.5,16,4
2007-03-27 21:01:37,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,3.5,4,4,4.5,16,4
2007-03-28 15:00:55,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,5,4.5,4.5,5,19,4.75
2007-04-02 12:46:45,"Victory Brewing Company","St. Victorious","Doppelbock",7.6,3.5,4,3.5,4,15,3.75
2007-04-07 04:56:30,"Victory Brewing Company","Throwback Lager","American Adjunct Lager",5.4,3,3,4,4,14,3.5
2007-04-07 14:58:43,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4.5,4,4,4.5,17,4.25
2007-04-17 22:14:39,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,5,5,5,5,20,5
2007-04-18 11:08:03,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,3,4,4,4,15,3.75
2007-04-18 15:17:03,"Troegs Brewing Company","DreamWeaver Wheat","Hefeweizen",4.8,4,3.5,3.5,3.5,14.5,3.625
2007-04-18 16:28:19,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,3.5,4,3,4,14.5,3.625
2007-04-19 00:22:50,"Victory Brewing Company","Golden Monkey","Tripel",9.5,2.5,3,2.5,1.5,9.5,2.375
2007-04-21 08:26:45,"Victory Brewing Company","Braumeister Pils","German Pilsener",5.5,3.5,4,3.5,3,14,3.5
2007-04-28 22:08:16,"Victory Brewing Company","St. Victorious","Doppelbock",7.6,4.5,4,4.5,4.5,17.5,4.375
2007-05-03 04:10:03,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4,3.5,3.5,3.5,14.5,3.625
2007-05-04 21:05:43,"Troegs Brewing Company","Scratch Beer 1 - 2007","California Common / Steam Beer",5,4,3.5,4.5,4.5,16.5,4.125
2007-05-06 13:50:04,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,3.5,4,4,3.5,15,3.75
2007-05-13 12:53:38,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,4,3.5,4,4,15.5,3.875
2007-05-16 18:27:26,"Victory Brewing Company","St. Victorious","Doppelbock",7.6,4,4,4,4,16,4
2007-05-17 13:51:44,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,3.5,3.5,3.5,3.5,14,3.5
2007-05-18 22:42:03,"Victory Brewing Company","Ten Years Alt","Altbier",8.5,4,4,4,4,16,4
2007-05-21 11:46:13,"Victory Brewing Company","Sapphire Edelbock","Maibock / Helles Bock",7.4,4,3.5,3.5,3.5,14.5,3.625
2007-05-22 18:41:08,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,3.5,3.5,4,4.5,15.5,3.875
2007-05-23 14:00:33,"Victory Brewing Company","V-Twelve","Quadrupel (Quad)",12,5,4,5,3.5,17.5,4.375
2007-05-23 17:46:30,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,4,4,3.5,4,15.5,3.875
2007-05-23 23:42:29,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,3.5,3.5,3.5,3.5,14,3.5
2007-06-06 00:27:27,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,3,4,1.5,2.5,11,2.75
2007-06-09 20:52:03,"Victory Brewing Company","Old Horizontal","American Barleywine",11,3.5,3.5,4.5,4.5,16,4
2007-06-11 21:20:39,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,3,4,4,4,15,3.75
2007-06-11 22:47:43,"Victory Brewing Company","Golden Monkey","Tripel",9.5,5,4,5,5,19,4.75
2007-06-17 14:46:06,"Victory Brewing Company","St. Boisterous","Maibock / Helles Bock",7.4,4.5,3,4,4,15.5,3.875
2007-06-17 15:46:29,"Yards Brewing Company","General Washington's Tavern Porter","English Porter",7,4.5,3.5,3.5,4,15.5,3.875
2007-06-17 16:49:56,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,3.5,4,3.5,3.5,14.5,3.625
2007-06-17 20:03:27,"Victory Brewing Company","Sapphire Edelbock","Maibock / Helles Bock",7.4,4.5,4,4.5,4.5,17.5,4.375
2007-06-17 22:08:52,"Victory Brewing Company","St. Victorious","Doppelbock",7.6,3.5,4,4,4.5,16,4
2007-06-20 12:24:48,"Victory Brewing Company","St. Boisterous","Maibock / Helles Bock",7.4,3.5,3,4,4,14.5,3.625
2007-06-21 23:46:38,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,3.5,4,3,3.5,14,3.5
2007-06-23 01:10:14,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,3.5,4,4.5,4,16,4
2007-06-25 22:18:36,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,4,5,4.5,18,4.5
2007-06-25 23:12:32,"Troegs Brewing Company","Troegs Pale Ale","American Pale Ale (APA)",5.4,3.5,5,4.5,4,17,4.25
2007-06-25 23:36:14,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,3.5,3.5,3.5,4,14.5,3.625
2007-06-27 03:56:21,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4,4,4.5,17,4.25
2007-06-28 23:02:35,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,2,4,3,3,12,3
2007-07-01 15:44:00,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,3.5,3.5,3,3,13,3.25
2007-07-02 22:37:02,"Victory Brewing Company","Sunrise Weiss","Hefeweizen",5.7,4,4,4,4,16,4
2007-07-03 23:54:05,"Troegs Brewing Company","Troegs Rugged Trail Nut Brown Ale","English Brown Ale",4.4,3,4,4,4.5,15.5,3.875
2007-07-06 21:23:47,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,5,4,4,4.5,17.5,4.375
2007-07-07 19:06:42,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,4.5,4,4,16.5,4.125
2007-07-08 20:37:04,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4.5,4,4,4.5,17,4.25
2007-07-11 20:25:29,"Victory Brewing Company","Sunrise Weiss","Hefeweizen",5.7,4,4,4,4.5,16.5,4.125
2007-07-16 20:20:32,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,3.5,4,4.5,16,4
2007-07-19 06:56:13,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,3,4,4.5,5,16.5,4.125
2007-07-21 00:06:57,"Troegs Brewing Company","Troegs Pale Ale","American Pale Ale (APA)",5.4,4,4.5,3,3,14.5,3.625
2007-07-25 12:56:36,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,5,5,5,5,20,5
2007-07-27 20:11:04,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,2,3.5,3,3,11.5,2.875
2007-07-28 17:50:51,"Victory Brewing Company","Golden Monkey","Tripel",9.5,2.5,3,3.5,3,12,3
2007-07-30 15:33:15,"Victory Brewing Company","Golden Monkey","Tripel",9.5,3,3,3,3,12,3
2007-07-31 22:26:21,"Yuengling Brewery","Yuengling Premium Beer","American Pale Lager",4.4,2,3,2,2,9,2.25
2007-08-01 15:06:24,"Victory Brewing Company","Kölsch Ale","Kolsch",4.6,3.5,4,3.5,3.5,14.5,3.625
2007-08-01 22:37:13,"Troegs Brewing Company","Troegs Rugged Trail Nut Brown Ale","English Brown Ale",4.4,4.5,4,3.5,3.5,15.5,3.875
2007-08-14 20:18:20,"Victory Brewing Company","Sunset Dunkleweizen","Dunkelweizen",5.7,3.5,4,3.5,3.5,14.5,3.625
2007-08-15 22:24:19,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4.5,4.5,5,18.5,4.625
2007-08-19 10:19:41,"Troegs Brewing Company","The Drafting Room 13th Anniversary Lager","German Pilsener",8,3.5,4,4,3.5,15,3.75
2007-08-20 20:37:06,"Troegs Brewing Company","Scratch Beer 2 - 2007","American Porter",5.9,3.5,4,3,3.5,14,3.5
2007-08-21 16:10:56,"Troegs Brewing Company","Scratch Beer 1 - 2007","California Common / Steam Beer",5,3.5,3.5,4,3.5,14.5,3.625
2007-08-22 20:11:45,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,3,4.5,4,4,15.5,3.875
2007-08-28 08:54:10,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,3.5,4.5,4,4,16,4
2007-09-02 23:21:51,"Victory Brewing Company","Festbier","Marzen / Oktoberfest",5.6,3.5,3,3.5,3.5,13.5,3.375
2007-09-03 19:03:51,"Troegs Brewing Company","Troegs Sunshine Pils","German Pilsener",5.3,4.5,4.5,4,4.5,17.5,4.375
2007-09-03 21:48:52,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4.5,5,4.5,4.5,18.5,4.625
2007-09-04 23:00:57,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4,4.5,4,16.5,4.125
2007-09-09 16:10:02,"Troegs Brewing Company","Scratch Beer 3 - 2007","Tripel",10.1,4,4,4.5,4,16.5,4.125
2007-09-12 18:29:32,"Troegs Brewing Company","Troegs Pale Ale","American Pale Ale (APA)",5.4,3.5,4,4,4,15.5,3.875
2007-09-23 16:11:37,"Troegs Brewing Company","DreamWeaver Wheat","Hefeweizen",4.8,4.5,3,3.5,4,15,3.75
2007-10-03 09:41:40,"Yuengling Brewery","Yuengling Premium Beer","American Pale Lager",4.4,2.5,3.5,2.5,2.5,11,2.75
2007-10-08 16:11:02,"Troegs Brewing Company","Troegs Naked Elf","Belgian Strong Dark Ale",8.5,4,4.5,4,4,16.5,4.125
2007-10-13 19:16:27,"Victory Brewing Company","Festbier","Marzen / Oktoberfest",5.6,4,4.5,4,4,16.5,4.125
2007-10-16 23:23:58,"Victory Brewing Company","V-Saison","Saison / Farmhouse Ale",7.5,3.5,3.5,4,4.5,15.5,3.875
2007-10-18 22:52:46,"Troegs Brewing Company","Troegs Pale Ale","American Pale Ale (APA)",5.4,4,4,3.5,4,15.5,3.875
2007-10-21 04:41:38,"Victory Brewing Company","Festbier","Marzen / Oktoberfest",5.6,3.5,3,3.5,3.5,13.5,3.375
2007-10-24 22:23:45,"Victory Brewing Company","Festbier","Marzen / Oktoberfest",5.6,3.5,3.5,3,3.5,13.5,3.375
2007-10-27 05:53:59,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,3.5,4.5,3,4.5,15.5,3.875
2007-10-27 17:05:01,"Victory Brewing Company","Golden Monkey","Tripel",9.5,4,1.5,4,4,13.5,3.375
2007-10-30 15:10:53,"Yuengling Brewery","Yuengling Porter (Dark Brewed)","American Porter",4.7,3.5,4,3.5,3,14,3.5
2007-10-31 18:05:58,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,5,5,4.5,19,4.75
2007-11-01 20:05:31,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,4,4,4.5,4.5,17,4.25
2007-11-03 21:00:04,"Yards Brewing Company","Extra Special Ale (ESA)","Extra Special / Strong Bitter (ESB)",6.3,3.5,3,4,4,14.5,3.625
2007-11-03 22:54:08,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,3,3,2.5,2,10.5,2.625
