"reviewer","time","brewery","name","style","abv","aroma","appearance","palate","taste","overall","total","average"
"akorsak",2006-10-01 12:59:51,"Victory Brewing Company","Dr. Decibels Brown Ale","English Brown Ale",5.7,4,4,4,4,3.5,19.5,3.9
"onsite416",2006-10-03 01:04:30,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4.5,4.5,4.5,4.5,22,4.4
"orfeu",2006-10-07 21:47:25,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4.5,4,5,5,5,23.5,4.7
"laintringulis",2006-10-08 10:19:40,"Troegs Brewing Company","Troegs Oatmeal Stout","Oatmeal Stout",7,4,4,4.5,4,4.5,21,4.2
"joe1510",2006-10-12 14:36:13,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4.5,3.5,4,4,20,4
"joe1510",2006-10-13 13:18:19,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,4,4,4,4.5,20.5,4.1
"MSchae1017",2006-10-15 22:13:32,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4,4.5,4.5,3.5,3.5,20,4
"goindownsouth",2006-10-16 07:17:31,"Victory Brewing Company","Braumeister Harvest Pils","German Pilsener",6.1,5,5,4.5,4.5,4.5,23.5,4.7
"foggylovesbeer",2006-10-20 15:51:36,"Victory Brewing Company","Victory Harvest Ale","American Strong Ale",5.8,5,5,5,5,5,25,5
"mortarit",2006-10-22 11:56:43,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4,4,4,3,19,3.8
"MmmIPA",2006-10-26 10:25:55,"Yards Brewing Company","Thomas Jefferson's Tavern Ale","English Strong Ale",8,4,3.5,3.5,2.5,4,17.5,3.5
"BeerBelcher",2006-10-28 20:14:25,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,3.5,2.5,4,3.5,4,17.5,3.5
"akahn",2006-10-30 13:23:52,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4,3.5,3.5,3.5,3.5,18,3.6
"eddiekop98",2006-11-03 08:42:51,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,3.5,3.5,3,3.5,3,16.5,3.3
"HugoGrim",2006-11-04 22:02:52,"Victory Brewing Company","Golden Monkey","Tripel",9.5,4.5,4.5,4,4,4,21,4.2
"alysmith4",2006-11-05 16:15:30,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,2,2,3,2,2,11,2.2
"Budlum",2006-11-05 21:17:48,"Victory Brewing Company","Moonglow Weizenbock","Weizenbock",8.7,4,4,4,4,4.5,20.5,4.1
"RunawayJim",2006-11-05 23:07:01,"Victory Brewing Company","Scarlet Fire Rauchbier","Rauchbier",6.1,4,4,4.5,4.5,4.5,21.5,4.3
"guinnessfan",2006-11-07 09:14:35,"Troegs Brewing Company","DreamWeaver Wheat","Hefeweizen",4.8,4.5,4.5,4.5,4.5,4,22,4.4
"Steimes",2006-11-08 10:13:02,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,3.5,3.5,4,3.5,4,18.5,3.7
"RunawayJim",2006-11-11 22:27:54,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4.5,5,4.5,4.5,23,4.6
"drinknewbelgium",2006-11-14 09:21:50,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,4,3.5,3.5,4,2.5,17.5,3.5
"kernalklink",2006-11-17 18:19:19,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,4.5,4,4,5,4,21.5,4.3
"themotleyfool",2006-11-19 21:22:03,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,4,4,3.5,3.5,4,19,3.8
"edskirk3",2006-11-19 22:08:11,"Yuengling Brewery","Yuengling Premium Beer","American Pale Lager",4.4,2,2.5,3,3.5,3.5,14.5,2.9
"tbone53",2006-11-23 13:16:38,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,4,4,4,4,4,20,4
"Beerquester",2006-11-26 21:31:27,"Yards Brewing Company","Poor Richard's Tavern Spruce Ale","Herbed / Spiced Beer",5,4.5,4.5,4.5,4,4.5,22,4.4
"amatuerbeerguy",2006-12-02 02:19:28,"Victory Brewing Company","Ten Years Alt","Altbier",8.5,3.5,3.5,3.5,4,4,18.5,3.7
"wesblount",2006-12-05 01:04:06,"Troegs Brewing Company","Troegs Oatmeal Stout","Oatmeal Stout",7,3,4,3.5,3.5,4,18,3.6
"wesblount",2006-12-05 01:19:01,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,4.5,4,4,4,4.5,21,4.2
"BeerSox",2006-12-10 00:45:42,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4,4,4,4,20.5,4.1
"ellisdee97",2006-12-14 11:36:47,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,3.5,3.5,3.5,3.5,3,17,3.4
"kirok1999",2006-12-15 21:27:17,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4,3.5,4,4,3.5,19,3.8
"EStreet20",2006-12-16 02:31:27,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,3.5,4,3.5,3.5,4,18.5,3.7
"daliandragon",2006-12-18 23:13:54,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,4.5,4,4,4.5,21,4.2
"CFWBDave",2006-12-22 10:45:46,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,3,3,3,3.5,4,16.5,3.3
"phishgator",2006-12-27 08:40:43,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4,4.5,4,4,4,20.5,4.1
"Taelec",2006-12-27 09:08:48,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4,4,4.5,4,21,4.2
"mcallister",2006-12-30 15:08:17,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,4,4,3,3.5,3,17.5,3.5
"jmc44",2007-01-02 11:32:15,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,3.5,4,3.5,4,3,18,3.6
"nvsblman",2007-01-06 18:29:20,"Yards Brewing Company","India Pale Ale","English India Pale Ale (IPA)",7,3.5,3.5,3.5,3.5,3.5,17.5,3.5
"cschwab",2007-01-12 21:17:22,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4,3.5,3,3.5,4,18,3.6
"Sudsdog",2007-01-19 18:50:11,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,3,4,4,4,4.5,19.5,3.9
"copasetic",2007-01-20 18:35:16,"Victory Brewing Company","Old Horizontal","American Barleywine",11,3.5,3.5,5,4,5,21,4.2
"MmmIPA",2007-01-21 14:48:52,"Victory Brewing Company","Golden Monkey","Tripel",9.5,3,2,3,3.5,3,14.5,2.9
"Caesar1pup",2007-01-24 17:13:22,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,5,4,4,4.5,4,21.5,4.3
"Enola",2007-01-24 19:56:52,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4,4,4.5,4.5,4.5,21.5,4.3
"shivtim",2007-01-28 18:25:18,"Victory Brewing Company","V-Twelve","Quadrupel (Quad)",12,4,4,2.5,3,3,16.5,3.3
"bjohnson",2007-01-28 21:28:18,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,4,3.5,3.5,3.5,3.5,18,3.6
"perfectkaos",2007-01-31 18:57:30,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,4,4,4,3.5,3.5,19,3.8
"zymurgy4all",2007-02-01 19:44:05,"Yuengling Brewery","Yuengling Porter (Dark Brewed)","American Porter",4.7,4,4.5,3,4,3.5,19,3.8
"tempest",2007-02-04 00:01:50,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,4,3.5,4.5,4,4,20,4
"billybob",2007-02-05 13:43:50,"Victory Brewing Company","Golden Monkey","Tripel",9.5,3.5,2.5,3.5,3.5,4,17,3.4
"UTAEPI",2007-02-11 17:14:58,"Yuengling Brewery","Yuengling Light Beer","Light Lager",3.5,3,5,5,4,5,22,4.4
"Freshie",2007-02-14 22:26:05,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4,3.5,4.5,4.5,4,20.5,4.1
"wcudwight",2007-02-18 21:15:55,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,4.5,5,5,3.5,22.5,4.5
"objectivemonkey",2007-02-20 18:26:25,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,4,3.5,4,4.5,4.5,20.5,4.1
"orsulacp",2007-02-21 13:58:32,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4.5,4,3.5,3.5,4.5,20,4
"david131",2007-02-21 23:41:38,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,4,4,4.5,4.5,21.5,4.3
"Braudog",2007-02-23 21:11:52,"Yuengling Brewery","Lord Chesterfield Ale","American Pale Ale (APA)",5.4,3.5,3,3,3.5,3,16,3.2
"edskirk3",2007-02-27 00:34:36,"Yuengling Brewery","Yuengling Black & Tan","Black & Tan",4.7,3,3.5,2.5,2.5,3,14.5,2.9
"enfield249",2007-02-28 12:25:56,"Victory Brewing Company","Old Horizontal","American Barleywine",11,4,3.5,3.5,3.5,3,17.5,3.5
"abcsofbeer",2007-03-02 19:51:51,"Victory Brewing Company","St. Boisterous","Maibock / Helles Bock",7.4,3.5,3,4,4,4,18.5,3.7
"sethmeister",2007-03-02 23:47:50,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4,4.5,5,4.5,4,22,4.4
"ubermunkey",2007-03-04 21:21:49,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,3,4,3.5,4,4.5,19,3.8
"kush6875",2007-03-06 23:35:18,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,5,4,5,5,5,24,4.8
"kajerm",2007-03-09 21:19:08,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,3.5,3.5,3,3.5,4,17.5,3.5
"auxiliary",2007-03-09 22:51:34,"Victory Brewing Company","Golden Monkey","Tripel",9.5,4,4,4,4.5,4,20.5,4.1
"guinnessfan",2007-03-11 21:06:01,"Yards Brewing Company","Philadelphia Pale Ale","American Pale Ale (APA)",4.3,3,4,4,3.5,4,18.5,3.7
"jcdiflorio",2007-03-11 23:43:21,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4.5,4,4,4.5,5,22,4.4
"nlmartin",2007-03-13 07:42:19,"Victory Brewing Company","St. Victorious","Doppelbock",7.6,4,3.5,4,4,4,19.5,3.9
"brewandbbq",2007-03-15 20:02:14,"Troegs Brewing Company","Troegs Oatmeal Stout","Oatmeal Stout",7,3.5,3.5,3,4,3.5,17.5,3.5
"mobud",2007-03-19 14:21:22,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,3.5,3,3,3.5,3.5,16.5,3.3
"fainster",2007-03-20 23:19:20,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,4.5,4,4.5,4.5,22,4.4
"ArrogantB",2007-03-21 11:44:09,"Victory Brewing Company","Ten Years Alt","Altbier",8.5,4,4.5,4,4,4,20.5,4.1
"akorsak",2007-03-24 20:51:41,"Yards Brewing Company","Extra Special Ale (ESA)","Extra Special / Strong Bitter (ESB)",6.3,3.5,3.5,3,3,3,16,3.2
"Redwood21",2007-03-26 05:06:17,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,3.5,4,4,4.5,4,20,4
"cueball52",2007-03-27 21:01:37,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,3.5,4,4,4.5,4,20,4
"bellan01",2007-03-28 15:00:55,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,5,4.5,4.5,5,5,24,4.8
"Nipitato",2007-04-02 12:46:45,"Victory Brewing Company","St. Victorious","Doppelbock",7.6,3.5,4,3.5,4,3.5,18.5,3.7
"MmmIPA",2007-04-07 04:56:30,"Victory Brewing Company","Throwback Lager","American Adjunct Lager",5.4,3,3,4,4,4,18,3.6
"Illinick",2007-04-07 14:58:43,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4.5,4,4,4.5,4.5,21.5,4.3
"cekgriffith",2007-04-18 11:08:03,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,3,4,4,4,4.5,19.5,3.9
"BlindPig",2007-04-18 15:17:03,"Troegs Brewing Company","DreamWeaver Wheat","Hefeweizen",4.8,4,3.5,3.5,3.5,3.5,18,3.6
"AChamberlain",2007-04-18 16:28:19,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,3.5,4,3,4,3,17.5,3.5
"fainster",2007-04-19 00:22:50,"Victory Brewing Company","Golden Monkey","Tripel",9.5,2.5,3,2.5,1.5,2,11.5,2.3
"smurphy77",2007-04-21 08:26:45,"Victory Brewing Company","Braumeister Pils","German Pilsener",5.5,3.5,4,3.5,3,4,18,3.6
"oelergud",2007-04-28 22:08:16,"Victory Brewing Company","St. Victorious","Doppelbock",7.6,4.5,4,4.5,4.5,4.5,22,4.4
"shadow1961",2007-05-03 04:10:03,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4,3.5,3.5,3.5,3.5,18,3.6
"akorsak",2007-05-04 21:05:43,"Troegs Brewing Company","Scratch Beer 1 - 2007","California Common / Steam Beer",5,4,3.5,4.5,4.5,4.5,21,4.2
"Tyrawlings",2007-05-06 13:50:04,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,3.5,4,4,3.5,4,19,3.8
"HugoGrim",2007-05-08 19:08:47,"Victory Brewing Company","St. Victorious","Doppelbock",7.6,3.5,4.5,4,4.5,3.5,20,4
"cubedbee",2007-05-13 12:53:38,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,4,3.5,4,4,4,19.5,3.9
"riversider76",2007-05-16 18:27:26,"Victory Brewing Company","St. Victorious","Doppelbock",7.6,4,4,4,4,4,20,4
"mobud",2007-05-17 13:51:44,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,3.5,3.5,3.5,3.5,3.5,17.5,3.5
"BlindPig",2007-05-18 22:42:03,"Victory Brewing Company","Ten Years Alt","Altbier",8.5,4,4,4,4,4,20,4
"weeare138",2007-05-21 11:46:13,"Victory Brewing Company","Sapphire Edelbock","Maibock / Helles Bock",7.4,4,3.5,3.5,3.5,4,18.5,3.7
"Atlas1",2007-05-22 18:41:08,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,3.5,3.5,4,4.5,4,19.5,3.9
"BobThomas",2007-05-23 14:00:33,"Victory Brewing Company","V-Twelve","Quadrupel (Quad)",12,5,4,5,3.5,3,20.5,4.1
"Chaz",2007-05-23 17:46:30,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,4,4,3.5,4,5,20.5,4.1
"bort11",2007-05-23 23:42:29,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,3.5,3.5,3.5,3.5,4,18,3.6
"khiasmus",2007-06-06 00:27:27,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,3,4,1.5,2.5,3,14,2.8
"pieper",2007-06-06 21:14:24,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,3,3,4,4,4,18,3.6
"KOPBeerDrinker",2007-06-09 20:52:03,"Victory Brewing Company","Old Horizontal","American Barleywine",11,3.5,3.5,4.5,4.5,4,20,4
"hoffan1939",2007-06-11 21:20:39,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,3,4,4,4,4.5,19.5,3.9
"hoffan1939",2007-06-11 22:47:43,"Victory Brewing Company","Golden Monkey","Tripel",9.5,5,4,5,5,5,24,4.8
"TurdFurgison",2007-06-17 14:46:06,"Victory Brewing Company","St. Boisterous","Maibock / Helles Bock",7.4,4.5,3,4,4,4,19.5,3.9
"soupyman10",2007-06-17 15:46:29,"Yards Brewing Company","General Washington's Tavern Porter","English Porter",7,4.5,3.5,3.5,4,4,19.5,3.9
"TurdFurgison",2007-06-17 16:49:56,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,3.5,4,3.5,3.5,4,18.5,3.7
"Bierman9",2007-06-17 20:03:27,"Victory Brewing Company","Sapphire Edelbock","Maibock / Helles Bock",7.4,4.5,4,4.5,4.5,5,22.5,4.5
"bozebus17",2007-06-17 22:08:52,"Victory Brewing Company","St. Victorious","Doppelbock",7.6,3.5,4,4,4.5,4.5,20.5,4.1
"number1bum",2007-06-20 12:24:48,"Victory Brewing Company","St. Boisterous","Maibock / Helles Bock",7.4,3.5,3,4,4,3.5,18,3.6
"Ellbert",2007-06-21 23:46:38,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,3.5,4,3,3.5,3.5,17.5,3.5
"khiasmus",2007-06-23 01:10:14,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,3.5,4,4.5,4,4.5,20.5,4.1
"rborthwick",2007-06-25 22:18:36,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,4,5,4.5,4.5,22.5,4.5
"PittBeerGirl",2007-06-25 23:12:32,"Troegs Brewing Company","Troegs Pale Ale","American Pale Ale (APA)",5.4,3.5,5,4.5,4,4,21,4.2
"techdiver",2007-06-25 23:36:14,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,3.5,3.5,3.5,4,4.5,19,3.8
"Stoneman78",2007-06-27 03:56:21,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4,4,4.5,4,21,4.2
"pauley22",2007-06-28 23:02:35,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,2,4,3,3,5,17,3.4
"mcallister",2007-07-01 15:44:00,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,3.5,3.5,3,3,3,16,3.2
"jcdiflorio",2007-07-02 22:37:02,"Victory Brewing Company","Sunrise Weiss","Hefeweizen",5.7,4,4,4,4,4,20,4
"perfectkaos",2007-07-03 23:54:05,"Troegs Brewing Company","Troegs Rugged Trail Nut Brown Ale","English Brown Ale",4.4,3,4,4,4.5,4.5,20,4
"BeerSki",2007-07-06 21:23:47,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,5,4,4,4.5,3.5,21,4.2
"AlephNull",2007-07-07 19:06:42,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,4.5,4,4,4,20.5,4.1
"arizcards",2007-07-08 20:37:04,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4.5,4,4,4.5,4.5,21.5,4.3
"Bitterbill",2007-07-11 20:25:29,"Victory Brewing Company","Sunrise Weiss","Hefeweizen",5.7,4,4,4,4.5,4,20.5,4.1
"sleazo",2007-07-16 20:20:32,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,3.5,4,4.5,4.5,20.5,4.1
"Duster72",2007-07-19 06:56:13,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,3,4,4.5,5,4.5,21,4.2
"DrJay",2007-07-21 00:06:57,"Troegs Brewing Company","Troegs Pale Ale","American Pale Ale (APA)",5.4,4,4.5,3,3,3.5,18,3.6
"bigdeuce",2007-07-27 20:11:04,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,2,3.5,3,3,4,15.5,3.1
"mon0x1d3",2007-07-28 17:50:51,"Victory Brewing Company","Golden Monkey","Tripel",9.5,2.5,3,3.5,3,3,15,3
"Rainintheface",2007-07-30 15:33:15,"Victory Brewing Company","Golden Monkey","Tripel",9.5,3,3,3,3,3,15,3
"jwc215",2007-07-31 22:26:21,"Yuengling Brewery","Yuengling Premium Beer","American Pale Lager",4.4,2,3,2,2,2.5,11.5,2.3
"bierman2000",2007-08-01 15:06:24,"Victory Brewing Company","Kölsch Ale","Kolsch",4.6,3.5,4,3.5,3.5,3.5,18,3.6
"HugoGrim",2007-08-01 22:37:13,"Troegs Brewing Company","Troegs Rugged Trail Nut Brown Ale","English Brown Ale",4.4,4.5,4,3.5,3.5,3.5,19,3.8
"tgbljb",2007-08-14 20:18:20,"Victory Brewing Company","Sunset Dunkleweizen","Dunkelweizen",5.7,3.5,4,3.5,3.5,3.5,18,3.6
"tai4ji2x",2007-08-15 22:24:19,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4.5,4.5,5,5,23.5,4.7
"jackorain",2007-08-19 10:19:41,"Troegs Brewing Company","The Drafting Room 13th Anniversary Lager","German Pilsener",8,3.5,4,4,3.5,3.5,18.5,3.7
"BeerTruth",2007-08-20 20:37:06,"Troegs Brewing Company","Scratch Beer 2 - 2007","American Porter",5.9,3.5,4,3,3.5,3.5,17.5,3.5
"ChainGangGuy",2007-08-21 16:10:56,"Troegs Brewing Company","Scratch Beer 1 - 2007","California Common / Steam Beer",5,3.5,3.5,4,3.5,3.5,18,3.6
"ommegangpbr",2007-08-22 20:11:45,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,3,4.5,4,4,4.5,20,4
"genog",2007-08-28 08:54:10,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,3.5,4.5,4,4,4,20,4
"tempest",2007-09-02 23:21:51,"Victory Brewing Company","Festbier","Marzen / Oktoberfest",5.6,3.5,3,3.5,3.5,3.5,17,3.4
"goochpunch",2007-09-03 19:03:51,"Troegs Brewing Company","Troegs Sunshine Pils","German Pilsener",5.3,4.5,4.5,4,4.5,5,22.5,4.5
"jkrich",2007-09-03 21:48:52,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4.5,5,4.5,4.5,4.5,23,4.6
"neenerzig",2007-09-04 23:00:57,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4,4.5,4,4.5,21,4.2
"Slatetank",2007-09-09 16:10:02,"Troegs Brewing Company","Scratch Beer 3 - 2007","Tripel",10.1,4,4,4.5,4,4,20.5,4.1
"AlexJ",2007-09-12 18:29:32,"Troegs Brewing Company","Troegs Pale Ale","American Pale Ale (APA)",5.4,3.5,4,4,4,4,19.5,3.9
"BeerImmediately",2007-09-23 16:11:37,"Troegs Brewing Company","DreamWeaver Wheat","Hefeweizen",4.8,4.5,3,3.5,4,4,19,3.8
"BuckeyeNation",2007-10-03 09:41:40,"Yuengling Brewery","Yuengling Premium Beer","American Pale Lager",4.4,2.5,3.5,2.5,2.5,3,14,2.8
"Overlord",2007-10-05 03:57:44,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,3.5,3.5,3.5,3.5,3.5,17.5,3.5
"far333",2007-10-08 16:11:02,"Troegs Brewing Company","Troegs Naked Elf","Belgian Strong Dark Ale",8.5,4,4.5,4,4,3.5,20,4
"jkrich",2007-10-13 19:16:27,"Victory Brewing Company","Festbier","Marzen / Oktoberfest",5.6,4,4.5,4,4,4,20.5,4.1
"Bighuge",2007-10-16 23:23:58,"Victory Brewing Company","V-Saison","Saison / Farmhouse Ale",7.5,3.5,3.5,4,4.5,4.5,20,4
"tempest",2007-10-18 22:52:46,"Troegs Brewing Company","Troegs Pale Ale","American Pale Ale (APA)",5.4,4,4,3.5,4,4,19.5,3.9
"JerzDevl2000",2007-10-21 04:41:38,"Victory Brewing Company","Festbier","Marzen / Oktoberfest",5.6,3.5,3,3.5,3.5,3.5,17,3.4
"jmalex",2007-10-24 22:23:45,"Victory Brewing Company","Festbier","Marzen / Oktoberfest",5.6,3.5,3.5,3,3.5,4,17.5,3.5
"ccrida",2007-10-27 05:53:59,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,3.5,4.5,3,4.5,3,18.5,3.7
"Amalak",2007-10-27 17:05:01,"Victory Brewing Company","Golden Monkey","Tripel",9.5,4,1.5,4,4,3.5,17,3.4
"Slatetank",2007-10-30 15:10:53,"Yuengling Brewery","Yuengling Porter (Dark Brewed)","American Porter",4.7,3.5,4,3.5,3,3,17,3.4
"hwwty4",2007-10-31 18:05:58,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,5,5,4.5,4.5,23.5,4.7
"mikesgroove",2007-11-01 20:05:31,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,4,4,4.5,4.5,5,22,4.4
"alldaydrinker",2007-11-03 21:00:04,"Yards Brewing Company","Extra Special Ale (ESA)","Extra Special / Strong Bitter (ESB)",6.3,3.5,3,4,4,4,18.5,3.7
"jhu1995",2007-11-03 22:54:08,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,3,3,2.5,2,4,14.5,2.9
"yinzer",2007-11-07 23:53:46,"Voodoo Brewing Company","White Magic Of The Sun","Witbier",6.75,3,3,3,2.5,2.5,14,2.8
"barleywinebrewer",2007-11-08 08:17:39,"Troegs Brewing Company","Scratch Beer 5 - 2007","Oatmeal Stout",9.9,3.5,3.5,3.5,3.5,3.5,17.5,3.5
"dyan",2007-11-11 21:22:50,"Troegs Brewing Company","Scratch Beer 5 - 2007","Oatmeal Stout",9.9,4.5,4.5,4,4,4,21,4.2
"sinistrsam",2007-11-12 14:34:55,"Victory Brewing Company","V-Saison","Saison / Farmhouse Ale",7.5,4,4,3.5,4,4,19.5,3.9
"drumrboy22",2007-11-12 15:02:30,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,4,3.5,3.5,4,19,3.8
"Deuane",2007-11-13 08:51:09,"Victory Brewing Company","Donnybrook Stout","Irish Dry Stout",3.7,4,4,3.5,4,4,19.5,3.9
"Black7Blue",2007-11-13 17:12:55,"Yuengling Brewery","Yuengling Black & Tan","Black & Tan",4.7,3.5,3.5,4,4,4,19,3.8
"Beerbuddha",2007-11-14 11:23:21,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,3,3,3,3,3,15,3
"StarSAELS",2007-11-17 22:05:45,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,3.5,3.5,3.5,4,3.5,18,3.6
"aerozeppl",2007-11-18 19:19:24,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4,4.5,4,5,4.5,22,4.4
"Eagles1331",2007-11-22 23:05:51,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,3,3.5,3.5,3.5,4.5,18,3.6
"jekka",2007-11-25 22:23:17,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4,4.5,4,4,4,20.5,4.1
"clemsonbrewer",2007-11-28 21:47:04,"Yuengling Brewery","Yuengling Porter (Dark Brewed)","American Porter",4.7,2.5,4.5,2,2.5,2.5,14,2.8
"tpd975",2007-11-29 22:11:18,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4,4.5,4.5,4,21,4.2
"meatyard",2007-12-01 18:54:06,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,4.5,4,3.5,3.5,4,19.5,3.9
"Biscuit033",2007-12-02 13:50:58,"Victory Brewing Company","Victory ESB","Extra Special / Strong Bitter (ESB)",6.25,4,4.5,4,4.5,4.5,21.5,4.3
"Floydster",2007-12-06 18:49:40,"Troegs Brewing Company","Troegs Dead Reckoning Porter","American Porter",5.4,3,4,3,4.5,3.5,18,3.6
"charlesw",2007-12-06 20:20:03,"Voodoo Brewing Company","White Magic Of The Sun","Witbier",6.75,3.5,4,3.5,2.5,2.5,16,3.2
"Gehrig",2007-12-07 01:35:55,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4.5,4.5,4.5,4.5,22.5,4.5
